Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
Item_MotionLoop_Desc,desc,ONでモーションを繰り返し再生します,Loops the motion when ON.,开启后循环播放动作。,開啟後循環播放動作。,켜면 모션을 반복 재생합니다.,Realiza un bucle del movimiento cuando está activado.,حلقات الحركة عند التشغيل.,Mengulang gerakan saat AKTIF.
Item_MotionLoop_Name,name,モーションループ,Motion Loop,动作循环,動作循環,모션 루프,Motion Bucle,Motion حلقة,Motion Lingkaran
Item_Motion_Desc,desc,モデル表示中に継続再生するモーションを選択（Idle含む）,Selects the motion to loop while the model is visible,including Idle.,选择模型显示期间持续播放的动作（含 Idle）。,選擇模型顯示期間持續播放的動作（含 Idle）。,Selecciona el movimiento para realizar un bucle mientras el modelo está visible,يحدد الحركة التي سيتم تكرارها أثناء ظهور النموذج,Memilih gerakan yang akan diulang saat model terlihat
Item_Motion_Name,name,モーション,Motion,动作,動作,모션,Motion,Motion,Motion
Item_MultiplyA_Desc,desc,モデルカラー乗算のA,Model multiply color A.,模型颜色乘算的 A。,模型顏色乘算的 A。,모델 색상 곱셈의 A 입니다.,Modelo multiplicar color A.,نموذج مضاعفة اللون أ.,Model kalikan warna A.
Item_MultiplyA_Name,name,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,العتامة,Kegelapan
Item_MultiplyB_Desc,desc,モデルカラー乗算のB,Model multiply color B.,模型颜色乘算的 B。,模型顏色乘算的 B。,모델 색상 곱셈의 B 입니다.,Modelo multiplicar color B.,نموذج مضاعفة اللون ب.,Model perbanyak warna B.
Item_MultiplyB_Name,name,乗算色B,Multiply Color B,乘算色B,乘算色B,곱색 B,Multiplicar color B,ضرب اللون ب,Perbanyak Warna B
Item_MultiplyG_Desc,desc,モデルカラー乗算のG,Model multiply color G.,模型颜色乘算的 G。,模型顏色乘算的 G。,모델 색상 곱셈의 G 입니다.,Modelo multiplicar color G.,نموذج مضاعفة اللون G.,Model kalikan warna G.
Item_MultiplyG_Name,name,乗算色G,Multiply Color G,乘算色G,乘算色G,곱색 G,Multiplicar color G,مضاعفة اللون G,Perbanyak Warna G
Item_MultiplyR_Desc,desc,モデルカラー乗算のR,Model multiply color R.,模型颜色乘算的 R。,模型顏色乘算的 R。,모델 색상 곱셈의 R 입니다.,Modelo multiplicar color R.,نموذج مضاعفة اللون R.,Model kalikan warna R.
Item_MultiplyR_Name,name,乗算色R,Multiply Color R,乘算色R,乘算色R,곱색 R,Multiplicar color R,مضاعفة اللون ر,Perbanyak Warna R
Item_PositionX_Desc,desc,モデル表示位置のXオフセット,X offset for model placement.,模型显示位置的 X 偏移。,模型顯示位置的 X 偏移。,모델 표시 위치의 X 오프셋입니다.,X desplazamiento para la colocación del modelo.,X إزاحة لوضع النموذج.,X offset untuk penempatan model.
Item_PositionX_Name,name,X,X,X,X,X,X,X,X
Item_PositionY_Desc,desc,モデル表示位置のYオフセット,Y offset for model placement.,模型显示位置的 Y 偏移。,模型顯示位置的 Y 偏移。,모델 표시 위치의 Y 오프셋입니다.,Y desplazamiento para la colocación del modelo.,Y إزاحة لوضع النموذج.,Y offset untuk penempatan model.
Item_PositionY_Name,name,Y,Y,Y,Y,Y,Y,Y,Y
Item_Rotation_Desc,desc,モデル表示の回転角度,Model display rotation angle.,模型显示的旋转角度。,模型顯示的旋轉角度。,모델 표시 회전 각도입니다.,Ángulo de rotación de la pantalla del modelo.,زاوية دوران عرض النموذج.,Sudut rotasi tampilan model.
Item_Rotation_Name,name,回転角,Rotation,旋转角,旋轉角,회전각,Rotación,تناوب,Rotasi
Item_Scale_Desc,desc,モデル表示スケール,Model display scale.,模型显示缩放。,模型顯示縮放。,모델 표시 배율입니다.,Escala de visualización del modelo.,مقياس عرض النموذج.,Skala tampilan model.
Item_Scale_Name,name,拡大率,Scale,缩放率,縮放率,배율,Escala,حجم,Skala
Log_D3D11InitializationFailed,log,D3D11 デバイスの初期化に失敗しました: {0},D3D11 device initialization failed: {0},D3D11 设备初始化失败: {0},D3D11 裝置初始化失敗: {0},D3D11 디바이스 초기화에 실패했습니다: {0},D3D11 error en la inicialización del dispositivo: {0},فشل تهيئة جهاز D3D11: {0},D3D11 inisialisasi perangkat gagal: {0}
Log_Live2DInitializationError,log,Live2D の初期化に失敗しました: {0},Live2D initialization failed: {0},Live2D 初始化失败: {0},Live2D 初始化失敗: {0},Live2D 초기화에 실패했습니다: {0},Live2D error de inicialización: {0},فشل تهيئة Live2D: {0},Inisialisasi Live2D gagal: {0}
Log_Live2DManagerNull,log,Live2DManager.GetInstance() が null を返しました。,Live2DManager.GetInstance() returned null.,Live2DManager.GetInstance() 返回了 null。,Live2DManager.GetInstance() 回傳了 null。,Live2DManager.GetInstance() 가 null 을 반환했습니다.,Live2DManager.GetInstance() devolvió nulo.,Live2DManager.GetInstance() تم إرجاعه فارغًا.,Live2DManager.GetInstance() mengembalikan nol.
Log_Live2DUpdateError,log,Live2D の更新中にエラーが発生しました: {0},An error occurred while updating Live2D: {0},更新 Live2D 时发生错误: {0},更新 Live2D 時發生錯誤: {0},Live2D 업데이트 중 오류가 발생했습니다: {0},Se produjo un error al actualizar Live2D: {0},حدث خطأ أثناء تحديث Live2D: {0},Terjadi kesalahan saat memperbarui Live2D: {0}
Log_ModelMetadataCatalogFailed,log,ModelMetadataCatalog.{0} で失敗しました: {1}\n{2},ModelMetadataCatalog.{0} failed: {1}\n{2},ModelMetadataCatalog.{0} 失败: {1}\n{2},ModelMetadataCatalog.{0} 失敗: {1}\n{2},ModelMetadataCatalog.{0} 에서 실패했습니다: {1}\n{2},ModelMetadataCatalog.{0} falló: {1}\n{2},فشل ModelMetadataCatalog.{0}: {1}\n{2},ModelMetadataCatalog.{0} gagal: {1}\n{2}
Plugin_HitArea_Name,shape plugin name,Live2Dヒットボックス,Live2D Hit Box,Live2D命中框,Live2D命中框,Live2D 히트박스,Área de impacto de Live2D,منطقة إصابة Live2D,Kotak Hit Live2D
Plugin_Live2D_Name,plugin name,VTuberKit Live2D,VTuberKit Live2D,VTuberKit Live2D,VTuberKit Live2D,VTuberKit Live2D,VTuberKit Live2D,VTuberKit Live2D,VTuberKit Live2D
Plugin_TargetPoint_Name,shape plugin name,Live2Dターゲットポイント,Live2D Target Point,Live2D目标点,Live2D目標點,Live2D 타깃 포인트,Punto objetivo de Live2D,نقطة استهداف Live2D,Titik Target Live2D
StdParam_AngleX,name,角度 X,Angle X,角度X,角度X,각도 X,Ángulo X,الزاوية X,Sudut X
StdParam_AngleY,name,角度 Y,Angle Y,角度Y,角度Y,각도 Y,Ángulo Y,الزاوية Y,Sudut Y
StdParam_AngleZ,name,角度 Z,Angle Z,角度Z,角度Z,각도 Z,Ángulo Z,الزاوية ز,Sudut Z
StdParam_ArmLA,name,左腕 A,Left arm A,左臂 A,左臂 A,왼팔 A,brazo izquierdo A,الذراع اليسرى أ,Lengan kiri A
StdParam_ArmLB,name,左腕 B,Left arm B,左臂 B,左臂 B,왼팔 B,brazo izquierdo B,الذراع اليسرى ب,Lengan kiriB
StdParam_ArmRA,name,右腕 A,Right arm A,右臂 A,右臂 A,오른팔 A,brazo derecho A,الذراع اليمنى أ,Lengan kanan A
StdParam_ArmRB,name,右腕 B,Right arm B,右臂 B,右臂 B,오른팔 B,brazo derecho B,الذراع اليمنى ب,Lengan kananB
StdParam_BaseX,name,全体の左右,Overall Left/right,全体左右,全體左右,전체의 좌우,General izquierda/derecha,إجمالي اليسار / اليمين,Secara keseluruhan Kiri/kanan
StdParam_BaseY,name,全体の上下,Overall Up/down,全体上下,全體上下,전체 상하,General arriba/abajo,إجمالي أعلى/أسفل,Secara keseluruhan Naik/turun
StdParam_BodyAngleX,name,体の回転 X,Body rotation X,身体旋转 X,身體旋轉 X,몸의 회전 X,Rotación del cuerpo X,دوران الجسم X,Rotasi tubuh X
StdParam_BodyAngleY,name,体の回転 Y,Body rotation Y,身体旋转 Y,身體旋轉 Y,몸의 회전 Y,Rotación del cuerpo Y,دوران الجسم Y,Rotasi tubuh Y
StdParam_BodyAngleZ,name,体の回転 Z,Body rotation Z,身体旋转 Z,身體旋轉 Z,몸의 회전 Z,Rotación del cuerpo Z,دوران الجسم Z,Rotasi tubuh Z
StdParam_Breath,name,呼吸,Breath,呼吸,呼吸,호흡,Aliento,يتنفس,Napas
StdParam_BrowLAngle,name,左眉 角度,Left eyebrow Angle,左眉 角度,左眉 角度,왼쪽 눈썹 각도,Ángulo de la ceja izquierda,زاوية الحاجب الأيسر,Sudut alis kiri
StdParam_BrowLForm,name,左眉 変形,Left eyebrow Deformation,左眉 变换,左眉 變換,왼쪽 눈썹 변형,Deformación de la ceja izquierda,تشوه الحاجب الأيسر,Deformasi alis kiri
StdParam_BrowLX,name,左眉 左右,Left eyebrow Left/Right,左眉 左右,左眉 左右,왼쪽 눈썹 좌우,Ceja izquierda Izquierda/Derecha,الحاجب الأيسر يمين/يسار,Alis kiri Kiri/Kanan
StdParam_BrowLY,name,左眉 上下,Left eyebrow Up/Down,左眉 上下,左眉 上下,왼쪽 눈썹 상하,Ceja izquierda arriba/abajo,الحاجب الأيسر لأعلى/لأسفل,Alis kiri Atas/Bawah
StdParam_BrowRAngle,name,右眉 角度,Right eyebrow Angle,右眉 角度,右眉 角度,오른쪽 눈썹 각도,Ángulo de la ceja derecha,زاوية الحاجب الأيمن,Sudut alis kanan
StdParam_BrowRForm,name,右眉 変形,Right eyebrow Deformation,右眉 变换,右眉 變換,오른쪽 눈썹 변형,Deformación de la ceja derecha,تشوه الحاجب الأيمن,Deformasi alis kanan
StdParam_BrowRX,name,右眉 左右,Right eyebrow Left/Right,右眉 左右,右眉 左右,오른쪽 눈썹 좌우,Ceja derecha Izquierda/Derecha,الحاجب الأيمن يسار / يمين,Alis kanan Kiri/Kanan
StdParam_BrowRY,name,右眉 上下,Right eyebrow Up/Down,右眉 上下,右眉 上下,오른쪽 눈썹 상하,Ceja derecha arriba/abajo,الحاجب الأيمن لأعلى/لأسفل,Alis kanan Atas/Bawah
StdParam_BustX,name,胸揺れ X,Breast physics X,胸部摇动 X,胸部搖動 X,가슴 흔들림 X,Física mamaria X,فيزياء الثدي X,Fisika payudara X
StdParam_BustY,name,胸揺れ Y,Breast physics Y,胸部摇动 Y,胸部搖動 Y,가슴 흔들림 Y,Física mamaria Y,فيزياء الثدي Y,Fisika payudara Y
StdParam_Cheek,name,照れ,Cheek,脸颊泛红,臉頰泛紅,수줍음,Mejilla,خدّ,Pipi
StdParam_EyeBallForm,name,目玉の拡大縮小,Eyeball scaling,眼珠的放大/缩小,眼珠的放大/縮小,눈알 확대・축소,Escala del globo ocular,تحجيم مقلة العين,Penskalaan bola mata
StdParam_EyeBallX,name,目玉 X,Eyeball X,眼珠 X,眼珠 X,눈알 X,Globo ocular X,مقلة العين X,Bola mata X
StdParam_EyeBallY,name,目玉 Y,Eyeball Y,眼珠 Y,眼珠 Y,눈알 Y,Globo ocular Y,مقلة العين Y,Bola mata Y
StdParam_EyeLOpen,name,左目 開閉,Left eye Open/Close,左眼 开合,左眼 開合,왼쪽 눈 개폐,Ojo izquierdo abrir/cerrar,العين اليسرى مفتوحة/مغلقة,Mata kiri Buka/Tutup
StdParam_EyeLSmile,name,左目 笑顔,Left eye Smiling,左眼 微笑,左眼 微笑,왼쪽 눈 미소,Ojo izquierdo Sonriendo,العين اليسرى مبتسمة,Mata kiri Tersenyum
StdParam_EyeROpen,name,右目 開閉,Right eye Open/Close,右眼 开合,右眼 開合,오른쪽 눈 개폐,Ojo derecho abrir/cerrar,العين اليمنى مفتوحة/مغلقة,Mata kanan Buka/Tutup
StdParam_EyeRSmile,name,右目 笑顔,Right eye Smiling,右眼 微笑,右眼 微笑,오른쪽 눈 미소,Ojo derecho Sonriendo,العين اليمنى تبتسم,Mata kanan Tersenyum
StdParam_HairBack,name,髪揺れ 後,Hair swing Back,头发摇动 后,頭髮搖動 後,머리카락 흔들림: 뒤,Movimiento del cabello hacia atrás,تأرجح الشعر للخلف,Ayunan rambut ke belakang
StdParam_HairFluffy,name,髪揺れ ふわ,Hair swing Fluffy,头发摇动 蓬松,頭髮搖動 蓬鬆,머리카락 흔들림: 둥실,Columpio de pelo esponjoso,أرجوحة الشعر رقيق,Ayunan rambut Halus
StdParam_HairFront,name,髪揺れ 前,Hair swing Front,头发摇动 前,頭髮搖動 前,머리카락 흔들림: 앞,Oscilación del cabello frente,أرجوحة شعر أمامية,Ayunan rambut Depan
StdParam_HairSide,name,髪揺れ 横,Hair swing Sideways,头发摇动 水平,頭髮搖動 水平,머리카락 흔들림: 옆,Movimiento del cabello hacia los lados,تأرجح الشعر على الجانبين,Ayunan rambut ke samping
StdParam_HandL,name,左手,Left hand,左手,左手,왼손,mano izquierda,اليد اليسرى,Tangan kiri
StdParam_HandR,name,右手,Right hand,右手,右手,오른손,Derecha,اليد اليمنى,Tangan kanan
StdParam_MouthForm,name,口 変形,Mouth Deformation,嘴巴 变换,嘴巴 變換,입 변형,Deformación de la boca,تشوه الفم,Deformasi Mulut
StdParam_MouthOpenY,name,口 開閉,Mouth Open/Close,嘴巴 开合,嘴巴 開合,입 개폐,Boca abierta/cerrada,الفم مفتوح/مغلق,Mulut Buka/Tutup
StdParam_ShoulderY,name,肩すくめる,Shrug,耸肩,聳肩,어깨 으쓱,Encogimiento de hombros,تتغاضى,Mengangkat bahu
Target_Character_Desc,desc,連携する Live2D キャラクターを選択します,Selects the linked Live2D character.,选择联动的 Live2D 角色。,選擇要連動的 Live2D 角色。,연동할 Live2D 캐릭터를 선택합니다.,Selecciona el carácter Live2D vinculado.,تحديد الحرف المرتبط Live2D.,Memilih karakter Live2D yang tertaut.
Target_Character_Name,name,キャラクター,Character,角色,角色,캐릭터,Personaje,شخصية,Karakter
Target_IsHidden_Desc,desc,ONでガイド図形のみ非表示にします。ターゲットポイント連携は有効です,When ON,only the guide shape is hidden. Target point linkage remains active.,开启时仅隐藏引导图形，目标点联动仍然有效。,開啟時僅隱藏導引圖形，目標點連動仍然有效。,Cuando está encendido,عندما تكون في وضع التشغيل,Saat AKTIF
Target_IsHidden_Name,name,非表示,Hide,隐藏,隱藏,숨기기,Esconder,يخفي,Bersembunyi
Target_LinkId_Desc,desc,内部識別子。通常は対象キャラクター選択で自動設定されます,Internal identifier. Usually set automatically by target character selection.,内部标识符。通常会在选择目标角色时自动设置。,內部識別碼。通常會在選擇目標角色時自動設定。,내부 식별자입니다. 보통 대상 캐릭터 선택 시 자동으로 설정됩니다.,Identificador interno. Generalmente se establece automáticamente mediante la selección del personaje objetivo.,معرف داخلي. عادةً ما يتم تعيينه تلقائيًا عن طريق اختيار الحرف المستهدف.,Pengidentifikasi internal. Biasanya diatur secara otomatis berdasarkan pemilihan karakter target.
Target_LinkId_Name,name,リンクID,Link ID,链接ID,連結ID,링크 ID,ID de enlace,معرف الارتباط,ID Tautan
Target_Size_Desc,desc,ガイド表示サイズ,Guide display size.,引导显示大小。,導引顯示大小。,가이드 표시 크기입니다.,Tamaño de visualización de la guía.,دليل حجم العرض.,Ukuran tampilan panduan.
Target_Size_Name,name,サイズ,Size,大小,大小,크기,Tamaño,مقاس,Ukuran
Target_X_Desc,desc,モデル空間のターゲットX,Target X in model space.,模型空间中的目标 X。,模型空間中的目標 X。,모델 공간의 타깃 X 입니다.,Objetivo X en el espacio modelo.,الهدف X في مساحة النموذج.,Targetkan X di ruang model.
Target_X_Name,name,X,X,X,X,X,X,X,X
Target_Y_Desc,desc,モデル空間のターゲットY,Target Y in model space.,模型空间中的目标 Y。,模型空間中的目標 Y。,모델 공간의 타깃 Y 입니다.,Objetivo Y en el espacio modelo.,الهدف Y في مساحة النموذج.,Targetkan Y di ruang model.
Target_Y_Name,name,Y,Y,Y,Y,Y,Y,Y,Y
Ui_DefaultGroup,name,(Default),(Default),(默认),(預設),(기본값),(Default),(Default),(Default)
Ui_NoneSelected,name,(未選択),(None),(未选择),(未選擇),(선택 안 함),(Ninguno),(لا أحد),(Tidak ada)
Ui_ParamList_Name,name,Param一覧,Param List,Param列表,Param列表,Param 목록,Lista Param,Param قائمة,Param Daftar
Ui_PartList_Name,name,Part一覧,Part List,Part列表,Part列表,Part 목록,Lista Part,Part قائمة,Part Daftar
Ui_Tab_Param,name,Param,Param,Param,Param,Param,Param,Param,Param
Ui_Tab_Part,name,Part,Part,Part,Part,Part,Part,Part,Part
Warning_DisplayInfoFileMissing,warning,DisplayInfo ファイルが見つかりません: {0},DisplayInfo file not found: {0},未找到 DisplayInfo 文件: {0},找不到 DisplayInfo 檔案: {0},DisplayInfo 파일을 찾을 수 없습니다: {0},DisplayInfo archivo no encontrado: {0},لم يتم العثور على ملف DisplayInfo: {0},File DisplayInfo tidak ditemukan: {0}
Warning_ExpressionFileMissing,warning,Expression ファイルが見つかりません: {0},Expression file not found: {0},未找到 Expression 文件: {0},找不到 Expression 檔案: {0},Expression 파일을 찾을 수 없습니다: {0},Expression archivo no encontrado: {0},لم يتم العثور على ملف Expression: {0},File Expression tidak ditemukan: {0}
Warning_ExpressionFileSettingMissing,warning,Expression の File 設定がありません: {0},Expression File setting is missing: {0},Expression 缺少 File 设置: {0},Expression 缺少 File 設定: {0},Expression 의 File 설정이 없습니다: {0},Expression Falta la configuración del archivo: {0},Expression إعداد الملف مفقود: {0},Expression Pengaturan file tidak ada: {0}
Warning_FileReferencesMissing,warning,FileReferences が無いため、関連ファイルの解決に失敗する可能性があります。,FileReferences is missing,so resolving related files may fail.,缺少 FileReferences，相关文件解析可能失败。,缺少 FileReferences，相關檔案解析可能失敗。,Falta FileReferences,FileReferences مفقود,FileReferences hilang
Warning_HitAreaIdMissing,warning,HitAreas に Id 未設定の項目があります。,There is a HitAreas item with no Id set.,HitAreas 中存在未设置 Id 的项目。,HitAreas 中有未設定 Id 的項目。,HitAreas 에 Id 가 설정되지 않은 항목이 있습니다.,Hay un elemento HitAreas sin Id configurado.,يوجد عنصر HitAreas بدون مجموعة Id.,Ada item HitAreas tanpa set Id.
Warning_MocFileMissing,warning,Moc ファイルが見つかりません: {0},Moc file not found: {0},未找到 Moc 文件: {0},找不到 Moc 檔案: {0},Moc 파일을 찾을 수 없습니다: {0},Moc archivo no encontrado: {0},لم يتم العثور على ملف Moc: {0},File Moc tidak ditemukan: {0}
Warning_MocMissing,warning,Moc の設定がありません。,Moc is not configured.,未配置 Moc。,未設定 Moc。,Moc 설정이 없습니다.,Moc no está configurado.,Moc لم يتم تكوينه.,Moc tidak dikonfigurasi.
Warning_ModelParseException,warning,model3.json の解析時に例外が発生しました。,An exception occurred while parsing model3.json.,解析 model3.json 时发生异常。,解析 model3.json 時發生例外。,model3.json 을 파싱하는 중 예외가 발생했습니다.,Se produjo una excepción al analizar model3.json.,حدث استثناء أثناء تحليل model3.json.,Pengecualian terjadi saat menguraikan model3.json.
Warning_MotionFileMissing,warning,Motion ファイルが見つかりません: {0},Motion file not found: {0},未找到 Motion 文件: {0},找不到 Motion 檔案: {0},Motion 파일을 찾을 수 없습니다: {0},Motion archivo no encontrado: {0},لم يتم العثور على ملف Motion: {0},File Motion tidak ditemukan: {0}
Warning_MotionFileSettingMissing,warning,Motion の File 設定がありません: {0},Motion File setting is missing: {0},Motion 缺少 File 设置: {0},Motion 缺少 File 設定: {0},Motion 의 File 설정이 없습니다: {0},Motion Falta la configuración del archivo: {0},Motion إعداد الملف مفقود: {0},Motion Pengaturan file tidak ada: {0}
Warning_MultipleModel3Json,warning,フォルダ内に複数の .model3.json が見つかったため、名前順で先頭のモデルを使います。,Multiple .model3.json files were found in the folder,so the first one in name order will be used.,文件夹中发现多个 .model3.json 文件，因此将使用按名称排序后的第一个模型。,資料夾中找到多個 .model3.json 檔案，因此將使用依名稱排序的第一個模型。,Se encontraron varios archivos .model3.json en la carpeta,تم العثور على ملفات .model3.json متعددة في المجلد,Beberapa file .model3.json ditemukan di folder tersebut
Warning_NameUnset,warning,(名前未設定),(Unnamed),(未设置名称),(未設定名稱),(이름 없음),(Sin nombre),(غير مسمى),(Tanpa nama)
Warning_PhysicsFileMissing,warning,Physics ファイルが見つかりません: {0},Physics file not found: {0},未找到 Physics 文件: {0},找不到 Physics 檔案: {0},Physics 파일을 찾을 수 없습니다: {0},Archivo de física no encontrado: {0},لم يتم العثور على ملف الفيزياء: {0},File Fisika tidak ditemukan: {0}
Warning_TextureFileMissing,warning,Texture ファイルが見つかりません: {0},Texture file not found: {0},未找到 Texture 文件: {0},找不到 Texture 檔案: {0},Texture 파일을 찾을 수 없습니다: {0},Texture archivo no encontrado: {0},لم يتم العثور على ملف Texture: {0},File Texture tidak ditemukan: {0}
